time,dengue_cases,denv_1,denv_2,denv_3,denv_4,Mean Temperature (°C),Mean Wind Speed (km/h),Daily Rainfall Total (mm),Maximum Temperature (°C),Max Wind Speed (km/h),Minimum Temperature (°C),recent_cases_in_cluster_central,recent_cases_in_cluster_east,recent_cases_in_cluster_north,recent_cases_in_cluster_north-east,recent_cases_in_cluster_west,google_trends
2020-06-07,1151,0.042,0.49,0.362,0.106,28.11428571428572,7.085714285714286,14.342857142857143,33.0,35.2,24.0,598.0,118.0,57.0,254.0,75.0,75
2020-06-14,1369,0.042,0.49,0.362,0.106,28.585714285714285,8.819275041667073,4.571428571428571,33.0,50.0,24.2,682.0,169.0,69.0,319.0,114.0,86
2020-06-21,1460,0.042,0.49,0.362,0.106,27.642857142857142,6.228571428571429,6.942857142857142,32.3,37.0,23.7,766.0,221.0,82.0,384.0,153.0,94
2020-06-28,1444,0.042,0.49,0.362,0.106,27.885714285714283,9.414285714285716,6.342857142857143,32.0,42.6,23.7,850.0,272.0,94.0,449.0,191.0,87
2020-07-05,1665,0.034,0.44,0.406,0.121,28.842857142857145,11.428571428571429,1.4857142857142858,32.4,35.2,24.6,921.0,317.0,108.0,506.0,218.0,76
2020-07-12,1725,0.034,0.44,0.406,0.121,27.65714285714285,7.685714285714285,3.3142857142857145,32.1,37.0,24.5,960.0,343.0,124.0,544.0,215.0,89
2020-07-19,1791,0.034,0.44,0.406,0.121,27.74285714285714,7.6,2.457142857142857,32.2,35.2,24.9,999.0,369.0,141.0,583.0,212.0,100
2020-07-26,1376,0.034,0.44,0.406,0.121,28.071428571428573,9.171428571428573,7.8,32.5,53.7,23.7,1038.0,396.0,158.0,621.0,208.0,89
2020-08-02,1667,0.026,0.48,0.393,0.1,27.942857142857143,8.9,6.257142857142857,31.7,42.6,23.9,1077.0,422.0,174.0,660.0,205.0,87
2020-08-09,1336,0.026,0.48,0.393,0.1,29.11428571428572,10.314285714285717,0.6857142857142857,32.9,44.4,24.1,1070.0,429.0,182.0,665.0,199.0,73
2020-08-16,1285,0.026,0.48,0.393,0.1,28.185714285714287,8.371428571428572,6.914285714285716,33.0,40.7,22.5,949.0,386.0,166.0,589.0,183.0,68
2020-08-23,1153,0.026,0.48,0.393,0.1,27.67142857142857,8.357142857142858,5.371428571428571,33.0,48.2,23.0,828.0,343.0,151.0,514.0,167.0,65
2020-08-30,937,0.026,0.48,0.393,0.1,27.928571428571427,9.2,1.8,32.4,51.9,24.0,707.0,301.0,136.0,438.0,152.0,56
2020-09-06,725,0.004,0.522,0.347,0.127,27.585714285714285,8.014285714285714,8.657142857142857,32.2,40.7,22.8,586.0,258.0,120.0,362.0,136.0,46
2020-09-13,671,0.004,0.522,0.347,0.127,27.4,7.985714285714286,4.057142857142857,32.2,57.4,22.7,465.0,215.0,105.0,286.0,120.0,47
2020-09-20,590,0.004,0.522,0.347,0.127,27.75714285714286,8.942857142857143,3.3714285714285714,33.2,46.3,21.9,369.0,186.0,92.0,226.0,107.0,37
2020-09-27,605,0.004,0.522,0.347,0.127,27.457142857142856,7.185714285714285,5.0,32.9,55.6,23.6,332.0,190.0,84.0,205.0,99.0,42
2020-10-04,528,0.007,0.556,0.275,0.162,27.842857142857145,7.571428571428571,1.0571428571428572,32.6,44.4,24.4,296.0,194.0,76.0,183.0,91.0,36
2020-10-11,591,0.007,0.556,0.275,0.162,28.2,7.214285714285714,3.857142857142857,33.2,42.6,23.2,259.0,199.0,68.0,162.0,83.0,38
2020-10-18,563,0.007,0.556,0.275,0.162,28.814285714285717,8.914285714285715,0.9142857142857144,33.6,42.6,24.6,223.0,203.0,60.0,141.0,75.0,32
2020-10-25,440,0.007,0.556,0.275,0.162,28.25714285714286,6.7,3.1142857142857143,33.7,44.4,22.2,186.0,207.0,52.0,119.0,67.0,31
2020-11-01,408,0.0,0.512,0.266,0.222,28.11428571428572,6.514285714285714,2.685714285714286,34.1,35.2,24.5,150.0,211.0,44.0,98.0,60.0,23
